plot_id_needle,year,vpd,tmax,ppt
FS_12,1901,5.752555582258436,6.397111114528444,1041.1319773197174
FS_12,1902,6.838222291734484,7.204444501135084,929.989019036293
FS_12,1903,5.828666739993626,5.779000057114495,965.3900079727173
FS_12,1904,6.764999919467503,7.038555423418681,1315.899998664856
FS_12,1905,6.70266670650906,7.91688887278239,699.1910037994385
FS_12,1906,6.3960000144110785,7.009333319134182,1171.4860210418701
FS_12,1907,6.099666582213508,6.381555683083004,1485.3229751586914
FS_12,1908,6.890666643778483,7.4566668139563665,705.7089796066284
FS_12,1909,6.550222290886773,6.929999894566006,1127.1800317764282
FS_12,1910,7.290444321102566,7.719555470678541,842.4289814606309
FS_12,1911,6.842000060611301,7.2126666572358875,1205.6600275039673
FS_12,1912,5.832333326339722,5.607222176260418,584.0290040969849
FS_12,1913,4.8042222658793134,4.881111178133223,592.9819955825806
FS_12,1914,6.792666647169325,7.546777867608601,1221.1280193030834
FS_12,1915,6.607666571935018,6.847777777247959,978.0429916381836
FS_12,1916,7.293444342083401,7.577222267786662,1013.5799943208694
FS_12,1917,5.2907777362399635,4.057666685846117,876.9610061645508
FS_12,1918,7.298888815773858,7.701444334454006,690.9229927062988
FS_12,1919,7.325666719012791,7.261555512746175,794.2010049819946
FS_12,1920,6.4374443954891625,6.577555603451199,680.5850026607513
FS_12,1921,5.624111149046156,5.53877776198917,1036.4489970207214
FS_12,1922,6.804222133424547,6.975999944739872,1024.0309982299805
FS_12,1923,6.145222240024143,6.658444431093004,886.987006187439
FS_12,1924,8.163999954859415,8.301555660035875,383.11599469184875
FS_12,1925,6.466000053617689,6.854999952846104,900.9700126647949
FS_12,1926,8.924000104268393,9.69888907008701,698.8269984722137
FS_12,1927,6.183333449893528,6.497333347797394,1073.5320177078247
FS_12,1928,7.4832222196790905,8.04822211795383,879.8390083312988
FS_12,1929,6.2073333793216285,6.261222283045451,635.8089940547943
FS_12,1930,7.053222086694506,7.420555432637532,864.7380094528198
