plot_label,plot_number,plot_id_iso,c,totalC,n,totaln,year,treeid,wt,perN,perC,drought,co2,C13,ci,delta_c
site 21,21,SEKI_48,-24.94,1.97222,-0.68,0.02478,2012,T27,3.818,0.649030906,51.65584075,Drought,394.81,-8.41,211.9046592920354,-24.94
site 21,21,SEKI_48,-25.68,1.92394,-0.76,0.02206,2011,T27,3.744,0.589209402,51.38728632,No drought,392.597,-8.392222222222221,223.8806589478859,-25.68
site 25,25,SEKI_67,-24.89,1.9541,-1.68,0.03008,2017,T4,3.815,0.788466579,51.2214941,No drought,407.9508333333333,-8.625,214.17418749999996,-24.89
site 25,25,SEKI_67,-23.98,2.00247,-1.78,0.03815,2016,T4,3.861,0.988085988,51.86402486,No drought,404.9063636363636,-8.589,196.91707268704744,-23.98
site 25,25,SEKI_67,-25.52,2.02066,-1.91,0.03305,2015,T4,3.85,0.858441558,52.48467532,Drought,401.98545454545456,-8.533,223.88455382139983,-25.52
site 25,25,SEKI_67,-25.77,1.99036,-1.89,0.026950000000000002,2014,T4,3.818,0.705866946,52.13095862,Drought,400.08833333333337,-8.503636363636364,227.77353908554568,-25.769999999999996
site 25,25,SEKI_67,-25.1,2.02066,-1.69,0.0296,2013,T4,3.827,0.77345179,52.80010452,Drought,397.44363636363636,-8.474545454545455,214.99686330724782,-25.099999999999998
site 25,25,SEKI_67,-24.47,2.06317,-1.66,0.02861,2012,T4,3.874,0.738513165,53.25684047,Drought,394.81,-8.41,203.6940088495575,-24.47
site 25,25,SEKI_67,-24.57,2.03886,-1.61,0.02548,2011,T4,3.871,0.658227848,52.67011108,No drought,392.597,-8.392222222222221,204.59823992133724,-24.57
site 25,25,SEKI_67,-26.5,1.96014,-1.43,0.03305,2017,T5,3.824,0.864278243,51.25889121,No drought,407.9508333333333,-8.625,243.23617164454276,-26.5
site 25,25,SEKI_67,-24.29,1.99642,-1.79,0.03592,2016,T5,3.836,0.936392075,52.044317,No drought,404.9063636363636,-8.589,202.47109802896213,-24.29
site 25,25,SEKI_67,-26.42,2.00247,-1.7,0.0356,2015,T5,3.818,0.932425354,52.44814039,Drought,401.98545454545456,-8.533,239.89282413515687,-26.42
site 25,25,SEKI_67,-25.95,2.03886,-1.77,0.03241,2014,T5,3.864,0.838768116,52.76552795,Drought,400.08833333333337,-8.503636363636364,230.96008333333333,-25.950000000000003
site 25,25,SEKI_67,-25.79,2.04493,-1.57,0.03209,2013,T5,3.86,0.83134715,52.97746114,Drought,397.44363636363636,-8.474545454545455,227.131204417465,-25.79
site 25,25,SEKI_67,-25.31,2.05709,-1.67,0.0288,2012,T5,3.903,0.737893928,52.70535486,Drought,394.81,-8.41,218.36836283185835,-25.31
site 25,25,SEKI_67,-25.37,1.99036,-1.59,0.02804,2011,T5,3.836,0.73096976,51.88633994,No drought,392.597,-8.392222222222221,218.4954788593904,-25.370000000000005
site 25,25,SEKI_67,-26.19,1.97222,-0.59,0.04292,2017,T13,3.831,1.120334116,51.48055338,No drought,407.9508333333333,-8.625,237.6403858775811,-26.19
site 25,25,SEKI_67,-24.45,1.97222,-0.98,0.03847,2016,T13,3.788,1.015575502,52.06494192,No drought,404.9063636363636,-8.589,205.33769175382136,-24.45
site 25,25,SEKI_67,-25.92,2.00853,-0.32,0.03624,2015,T13,3.833,0.945473519,52.40099139,Drought,401.98545454545456,-8.533,230.99934062751407,-25.92
site 25,25,SEKI_67,-25.58,1.98431,-0.35,0.03432,2014,T13,3.793,0.904824677,52.31505405,Drought,400.08833333333337,-8.503636363636364,224.40996460176987,-25.58
site 25,25,SEKI_67,-25.34,1.99036,-0.2,0.03273,2013,T13,3.761,0.870247275,52.92103164,Drought,397.44363636363636,-8.474545454545455,219.21750369341038,-25.340000000000003
site 25,25,SEKI_67,-24.99,2.04493,-0.33,0.03241,2012,T13,3.873,0.836819003,52.79963852,Drought,394.81,-8.41,212.7781327433628,-24.99
site 25,25,SEKI_67,-25.23,2.02066,-0.57,0.0303,2011,T13,3.84,0.7890625,52.62135417,No drought,392.597,-8.392222222222221,216.0634620452311,-25.23
site 25,25,SEKI_67,-27.97,2.01459,-2.67,0.04483,2017,T16,3.899,1.149781995,51.669402409999996,No drought,407.9508333333333,-8.625,269.7710267330383,-27.97
site 25,25,SEKI_67,-25.04,2.00853,-2.61,0.03592,2016,T16,3.912,0.918200409,51.34279141,No drought,404.9063636363636,-8.589,215.90825611423972,-25.04
site 25,25,SEKI_67,-26.93,1.89385,-2.45,0.03464,2015,T16,3.611,0.959291055,52.44669067,Drought,401.98545454545456,-8.533,248.9641773129525,-26.93
site 25,25,SEKI_67,-27.15,1.97222,-2.58,0.03241,2014,T16,3.755,0.863115846,52.52250333,Drought,400.08833333333337,-8.503636363636364,252.2037116519174,-27.15
site 25,25,SEKI_67,-26.33,2.07534,-2.48,0.03369,2013,T16,3.98,0.846482412,52.14422111,Drought,397.44363636363636,-8.474545454545455,236.62764528633065,-26.33
site 25,25,SEKI_67,-26.31,1.96014,-2.56,0.02548,2012,T16,3.785,0.67318362,51.78705416,Drought,394.81,-8.41,235.83783185840704,-26.310000000000002
site 25,25,SEKI_67,-25.35,2.03886,-2.27,0.02947,2011,T16,3.868,0.761892451,52.71096174,No drought,392.597,-8.392222222222221,218.148047885939,-25.349999999999998
site 25,25,SEKI_67,-25.94,1.96618,-2.45,0.04038,2017,T19,3.801,1.062352013,51.72796632,No drought,407.9508333333333,-8.625,233.12765542035396,-25.939999999999998
site 25,25,SEKI_67,-24.19,1.94806,-3.04,0.03751,2016,T19,3.748,1.000800427,51.97598719,No drought,404.9063636363636,-8.589,200.67947695092516,-24.19
site 25,25,SEKI_67,-25.78,1.97826,-2.31,0.03369,2015,T19,3.805,0.885413929,51.99106439,Drought,401.98545454545456,-8.533,228.50916524537408,-25.78
site 25,25,SEKI_67,-25.75,1.9119,-2.37,0.03072,2014,T19,3.663,0.838656839,52.19492219,Drought,400.08833333333337,-8.503636363636364,227.4194786135693,-25.75
site 25,25,SEKI_67,-24.8,1.9541,-2.22,0.02957,2013,T19,3.772,0.783934252,51.80540827,Drought,397.44363636363636,-8.474545454545455,209.72106282454473,-24.800000000000004
site 25,25,SEKI_67,-24.89,1.89987,-2.76,0.03024,2012,T19,3.62,0.835359116,52.48259669,Drought,394.81,-8.41,211.03118584070793,-24.89
site 25,25,SEKI_67,-25.11,1.94203,-1.98,0.02903,2011,T19,3.664,0.792303493,53.00300218,No drought,392.597,-8.392222222222221,213.97887620452303,-25.109999999999996
site 25,25,SEKI_67,-26.06,1.97222,-3.83,0.03815,2017,T25,3.812,1.000786988,51.73714586,No drought,407.9508333333333,-8.625,235.29376603982294,-26.059999999999995
site 25,25,SEKI_67,-24.27,1.94806,-4.21,0.03783,2016,T25,3.726,1.0152979070000001,52.28287708,No drought,404.9063636363636,-8.589,202.11277381335475,-24.27
site 25,25,SEKI_67,-27.03,1.89457,-4.5,0.03352,2015,T25,3.662,0.915346805,51.73593665,Drought,401.98545454545456,-8.533,250.7428740144811,-27.03
site 25,25,SEKI_67,-26.75,2.02851,-4.54,0.0341,2014,T25,3.895,0.875481386,52.07984596,Drought,400.08833333333337,-8.503636363636364,245.12250221238935,-26.75
site 25,25,SEKI_67,-26.04,2.06716,-4.58,0.03323,2013,T25,3.966,0.837871911,52.12203732,Drought,397.44363636363636,-8.474545454545455,231.52770481971763,-26.04
site 25,25,SEKI_67,-25.9,1.96447,-4.56,0.03122,2012,T25,3.724,0.838345865,52.75161117,Drought,394.81,-8.41,228.67534955752205,-25.9
site 25,25,SEKI_67,-26.2,1.9009,-4.58,0.02698,2011,T25,3.623,0.744686724,52.46756831,No drought,392.597,-8.392222222222221,232.91386425762047,-26.200000000000003
site 25,25,SEKI_67,-26.42,1.9009,-3.45,0.0387,2017,T27,3.686,1.049918611,51.57080846,No drought,407.9508333333333,-8.625,241.7920978982301,-26.42
site 25,25,SEKI_67,-24.68,2.04782,-3.5,0.04214,2016,T27,3.92,1.075,52.24030612,No drought,404.9063636363636,-8.589,209.4584202333065,-24.68
site 25,25,SEKI_67,-26.99,1.97085,-3.6,0.03812,2015,T27,3.76,1.013829787,52.4162234,Drought,401.98545454545456,-8.533,250.03139533386965,-26.99
site 25,25,SEKI_67,-26.42,2.00284,-3.78,0.03237,2014,T27,3.821,0.847160429,52.41664486,Drought,400.08833333333337,-8.503636363636364,239.2805044247788,-26.42
site 25,25,SEKI_67,-25.77,1.97724,-3.72,0.02891,2013,T27,3.82,0.756806283,51.76020942,Drought,397.44363636363636,-8.474545454545455,226.77948438528486,-25.77
site 25,25,SEKI_67,-25.23,2.02851,-3.69,0.03151,2012,T27,3.844,0.819719043,52.77081165,Drought,394.81,-8.41,216.97080530973452,-25.230000000000004
site 25,25,SEKI_67,-25.82,2.02209,-3.6,0.02621,2011,T27,3.774,0.694488606,53.57949126,No drought,392.597,-8.392222222222221,226.3126757620452,-25.819999999999997
site 24,24,SEKI_67C,-26.83,1.92627,-2.66,0.04329,2017,T5,3.747,1.155324259,51.40832666,No drought,407.9508333333333,-8.625,249.19297584808254,-26.83
site 24,24,SEKI_67C,-25.44,1.93899,-2.97,0.04071,2016,T5,3.746,1.08675921,51.76161239,No drought,404.9063636363636,-8.589,223.0747404263877,-25.439999999999998
site 24,24,SEKI_67C,-26.59,1.92627,-3.05,0.03208,2015,T5,3.743,0.857066524,51.46326476,Drought,401.98545454545456,-8.533,242.91660852775547,-26.590000000000003
site 24,24,SEKI_67C,-27.13,1.9009,-2.93,0.0341,2014,T5,3.636,0.937843784,52.279978,Drought,400.08833333333337,-8.503636363636364,251.849651179941,-27.13
site 24,24,SEKI_67C,-26.58,2.02851,-2.68,0.03323,2013,T5,3.846,0.864014561,52.74336973,Drought,397.44363636363636,-8.474545454545455,241.02414568858327,-26.58
site 24,24,SEKI_67C,-26.51,2.00284,-2.62,0.03007,2012,T5,3.805,0.790275953,52.6370565,Drought,394.81,-8.41,239.33172566371684,-26.510000000000005
site 24,24,SEKI_67C,-26.65,2.01567,-2.6,0.02897,2011,T5,3.843,0.753838147,52.45042935,No drought,392.597,-8.392222222222221,240.73106116027523,-26.649999999999995
site 24,24,SEKI_67C,-27.76,1.97085,-2.17,0.03381,2017,T8,3.823,0.884383992,51.55244572,No drought,407.9508333333333,-8.625,265.9803331489676,-27.760000000000005
site 24,24,SEKI_67C,-26.4,1.95809,-2.15,0.02782,2016,T8,3.787,0.734618431,51.70557169,No drought,404.9063636363636,-8.589,240.27430277554302,-26.400000000000002
site 24,24,SEKI_67C,-28.1,2.01567,-1.8,0.02837,2015,T8,3.873,0.7325071,52.04415182,Drought,401.98545454545456,-8.533,269.77492872083667,-28.1
site 24,24,SEKI_67C,-27.77,1.94535,-1.69,0.02228,2014,T8,3.778,0.589730016,51.49152991,Drought,400.08833333333337,-8.503636363636364,263.1795862831858,-27.77
site 24,24,SEKI_67C,-28.13,1.9009,-1.75,0.02422,2013,T8,3.64,0.665384615,52.22252747,Drought,397.44363636363636,-8.474545454545455,268.28244818254956,-28.130000000000003
site 24,24,SEKI_67C,-27.51,1.9009,-1.58,0.0194,2012,T8,3.667,0.529042814,51.83801473,Drought,394.81,-8.41,256.8011946902655,-27.51
site 24,24,SEKI_67C,-27.68,1.97724,-1.9,0.02142,2011,T8,3.788,0.565469905,52.19746568,No drought,392.597,-8.392222222222221,258.62375629301863,-27.68
site 24,24,SEKI_67C,-27.84,2.04138,-2.01,0.03898,2017,T10,3.913,0.996166624,52.16917966,No drought,407.9508333333333,-8.625,267.42440689528024,-27.840000000000003
site 24,24,SEKI_67C,-25.84,1.93263,-2.21,0.03352,2016,T10,3.697,0.906681093,52.27562889,No drought,404.9063636363636,-8.589,230.24122473853572,-25.839999999999996
site 24,24,SEKI_67C,-28.08,1.97085,-1.88,0.02866,2015,T10,3.758,0.762639702,52.44411921,Drought,401.98545454545456,-8.533,269.4191893805309,-28.079999999999995
site 24,24,SEKI_67C,-27.82,1.93263,-1.84,0.02618,2014,T10,3.657,0.715887339,52.84741591,Drought,400.08833333333337,-8.503636363636364,264.06473746312685,-27.82
site 24,24,SEKI_67C,-27.47,2.04782,-1.72,0.02508,2013,T10,3.869,0.648229517,52.9289222,Drought,397.44363636363636,-8.474545454545455,256.67568712060256,-27.47
site 24,24,SEKI_67C,-26.94,2.08655,-1.79,0.02589,2012,T10,3.93,0.658778626,53.09287532,Drought,394.81,-8.41,246.84359734513276,-26.940000000000005
site 24,24,SEKI_67C,-26.91,2.00284,-1.64,0.02301,2011,T10,3.789,0.607284244,52.85932964,No drought,392.597,-8.392222222222221,245.2476638151426,-26.910000000000004
site 24,24,SEKI_67C,-28.11,2.03494,-3.07,0.04616,2017,T11,3.904,1.182377049,52.1244877,No drought,407.9508333333333,-8.625,272.2981557890855,-28.11
site 24,24,SEKI_67C,-26.17,2.04138,-2.74,0.04415,2016,T11,3.869,1.141121737,52.76247092,No drought,404.9063636363636,-8.589,236.15357429605794,-26.17
site 24,24,SEKI_67C,-28.18,2.02851,-2.79,0.04071,2015,T11,3.859,1.054936512,52.56569059,Drought,401.98545454545456,-8.533,271.1978860820595,-28.18
site 24,24,SEKI_67C,-28.36,2.02851,-2.68,0.03467,2014,T11,3.862,0.897721388,52.52485759,Drought,400.08833333333337,-8.503636363636364,273.6243702064897,-28.36
site 24,24,SEKI_67C,-27.7,2.05426,-3.06,0.03582,2013,T11,3.875,0.924387097,53.01316129,Drought,397.44363636363636,-8.474545454545455,260.72046749067505,-27.700000000000003
site 24,24,SEKI_67C,-26.8,2.00284,-2.93,0.03179,2012,T11,3.78,0.841005291,52.98518519,Drought,394.81,-8.41,244.39787168141595,-26.800000000000004
site 24,24,SEKI_67C,-27.35,1.99003,-2.97,0.02909,2011,T11,3.774,0.770800212,52.7299947,No drought,392.597,-8.392222222222221,252.89114523107173,-27.35
site 24,24,SEKI_67C,-26.6,1.90724,-2.9,0.03553,2017,T25,3.656,0.971827133,52.16739606,No drought,407.9508333333333,-8.625,245.04126382743362,-26.6
site 24,24,SEKI_67C,-25.43,1.95172,-2.63,0.03812,2016,T25,3.718,1.02528241,52.49381388,No drought,404.9063636363636,-8.589,222.89557831858403,-25.43
site 24,24,SEKI_67C,-27.25,1.97724,-2.69,0.03611,2015,T25,3.752,0.962420043,52.69829424,Drought,401.98545454545456,-8.533,254.6560067578439,-27.25
site 24,24,SEKI_67C,-27.06,1.97085,-2.68,0.03294,2014,T25,3.739,0.88098422,52.71061781,Drought,400.08833333333337,-8.503636363636364,250.61043952802356,-27.06
site 24,24,SEKI_67C,-26.07,1.98363,-2.64,0.03064,2013,T25,3.788,0.808870116,52.36615628,Drought,397.44363636363636,-8.474545454545455,232.05528486798795,-26.07
site 24,24,SEKI_67C,-25.66,1.96447,-2.96,0.02978,2012,T25,3.753,0.793498535,52.34399147,Drought,394.81,-8.41,224.48267699115044,-25.66
site 24,24,SEKI_67C,-26.02,1.98363,-2.88,0.02866,2011,T25,3.773,0.759607739,52.57434402,No drought,392.597,-8.392222222222221,229.7869854965585,-26.02
site 24,24,SEKI_67C,-28,1.96447,-2.84,0.04099,2017,T26,3.743,1.095110874,52.48383649,No drought,407.9508333333333,-8.625,270.31255438790555,-28
site 24,24,SEKI_67C,-26.71,2.01567,-2.91,0.043,2016,T26,3.785,1.136063408,53.25416116,No drought,404.9063636363636,-8.589,245.82832811745777,-26.710000000000004
site 24,24,SEKI_67C,-27.89,2.02209,-2.93,0.03611,2015,T26,3.824,0.944299163,52.87892259,Drought,401.98545454545456,-8.533,266.0396656476267,-27.89
site 24,24,SEKI_67C,-27.99,2.00284,-3.1,0.03208,2014,T26,3.763,0.852511294,53.22455488,Drought,400.08833333333337,-8.503636363636364,267.0742514749262,-27.989999999999995
site 24,24,SEKI_67C,-27.74,2.03494,-3.18,0.03352,2013,T26,3.805,0.880946124,53.48068331,Drought,397.44363636363636,-8.474545454545455,261.42390755503544,-27.74
site 24,24,SEKI_67C,-27.51,1.99643,-3.37,0.02762,2012,T26,3.757,0.735161033,53.13894064,Drought,394.81,-8.41,256.8011946902655,-27.51
site 24,24,SEKI_67C,-27.83,2.01567,-3.31,0.03266,2011,T26,3.726,0.87654321,54.09742351,No drought,392.597,-8.392222222222221,261.22948859390357,-27.83
site 24,24,SEKI_67C,-25.55,1.97085,-2.58,0.03812,2017,T28,3.793,1.005009228,51.96018982,No drought,407.9508333333333,-8.625,226.08779590707962,-25.55
site 24,24,SEKI_67C,-25.25,1.99003,-2.21,0.03668,2016,T28,3.791,0.967554735,52.49353733,No drought,404.9063636363636,-8.589,219.67066037811745,-25.25
site 24,24,SEKI_67C,-26.57,2.08655,-2.46,0.03783,2015,T28,3.921,0.964804897,53.21474114,Drought,401.98545454545456,-8.533,242.56086918744967,-26.57
